preprocessing,background_removal_enabled,score_threshold,margin_threshold,n_total,n_known,n_unknown,top1_known,top3_known,top5_known,unknown_rejection,overall_accuracy,approval_rate
bg_removed,True,0.31,0.025,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.6470588235294118,0.39080459770114945,0.4367816091954023
bg_removed,True,0.31,0.03,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7058823529411765,0.40229885057471265,0.40229885057471265
bg_removed,True,0.31,0.035,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7058823529411765,0.367816091954023,0.3333333333333333
bg_removed,True,0.31,0.04,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7058823529411765,0.3563218390804598,0.3218390804597701
bg_removed,True,0.31,0.045,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7647058823529411,0.3563218390804598,0.27586206896551724
bg_removed,True,0.31,0.05,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7647058823529411,0.3333333333333333,0.25287356321839083
bg_removed,True,0.31,0.055,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7647058823529411,0.3333333333333333,0.25287356321839083
bg_removed,True,0.31,0.06,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7647058823529411,0.3218390804597701,0.2413793103448276
bg_removed,True,0.31,0.065,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8235294117647058,0.3103448275862069,0.20689655172413793
bg_removed,True,0.31,0.07,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8823529411764706,0.28735632183908044,0.16091954022988506
bg_removed,True,0.31,0.075,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8823529411764706,0.28735632183908044,0.16091954022988506
bg_removed,True,0.31,0.08,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8823529411764706,0.28735632183908044,0.16091954022988506
bg_removed,True,0.31,0.085,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8823529411764706,0.27586206896551724,0.14942528735632185
bg_removed,True,0.31,0.09,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.28735632183908044,0.13793103448275862
bg_removed,True,0.31,0.095,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.27586206896551724,0.12643678160919541
bg_removed,True,0.31,0.1,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.26436781609195403,0.10344827586206896
bg_removed,True,0.31,0.105,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.26436781609195403,0.10344827586206896
bg_removed,True,0.31,0.11,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.26436781609195403,0.10344827586206896
